Range To (consumption rate),Range From (consumption rate),Fuel consumption Kg/Km,IATA Code,Fuel Consumption kg,ICAO Code
463,231,5.948164147,142,2754,B462
926,463,4.183585313,142,3874,B462
1389,926,3.785457163,142,5258,B462
1852,1389,3.563714903,142,6600,B462
2778,1852,3.311375090,142,9199,B462
,2778,3.165496760,142,11725,B462
463,231,1.781857451,D38,825,D328
926,463,1.339092873,D38,1240,D328
,926,1.206623470,D38,1676,D328
463,231,5.332613391,AN7,2469,AN72
926,463,3.510799136,AN7,3251,AN72
1389,926,3.055435565,AN7,4244,AN72
1852,1389,2.798596112,AN7,5183,AN72
2778,1852,2.501439885,AN7,6949,AN72
3704,2778,2.326403888,AN7,8617,AN72
,3704,2.206479482,AN7,10216,AN72
463,231,7.730021598,LOE,3579,L188
926,463,5.809935205,LOE,5380,L188
1389,926,5.234701224,LOE,7271,L188
1852,1389,4.891468683,LOE,9059,L188
2778,1852,4.477321814,LOE,12438,L188
3704,2778,4.223542117,LOE,15644,L188
4630,3704,4.045572354,LOE,18731,L188
,4630,3.911087113,LOE,21730,L188
463,231,2.308855292,DH3,1069,DH8C
926,463,1.735421166,DH3,1607,DH8C
,926,1.563714903,DH3,2172,DH8C
463,231,2.887688985,AN4,1337,AN24
926,463,2.062634989,AN4,1910,AN24
,926,1.825773938,AN4,2536,AN24
463,231,10.213822894,75F,4729,B752
926,463,6.838012959,75F,6332,B752
1389,926,6.182865371,75F,8588,B752
1852,1389,5.806155508,75F,10753,B752
2778,1852,5.367530598,75F,14911,B752
3704,2778,5.106911447,75F,18916,B752
4630,3704,4.927861771,75F,22816,B752
5556,4630,4.794636429,75F,26639,B752
,5556,4.643319963,75F,30098,B752
463,231,6.207343413,AR1,2874,RJ1H
926,463,4.433045356,AR1,4105,RJ1H
1389,926,4.046796256,AR1,5621,RJ1H
1852,1389,3.833693305,AR1,7100,RJ1H
,1852,3.594672426,AR1,9986,RJ1H
463,231,6.915766739,73G,3202,B737
926,463,4.506479482,73G,4173,B737
1389,926,4.010079194,73G,5570,B737
1852,1389,3.723002160,73G,6895,B737
2778,1852,3.387329014,73G,9410,B737
3704,2778,3.186825054,73G,11804,B737
4630,3704,3.048164147,73G,14113,B737
5556,4630,2.944564435,73G,16360,B737
6482,5556,2.863005245,73G,18558,B737
,6482,2.796301296,73G,20715,B737
463,231,5.948164147,AR8,2754,RJ85
926,463,4.183585313,AR8,3874,RJ85
1389,926,3.785457163,AR8,5258,RJ85
1852,1389,3.563714903,AR8,6600,RJ85
2778,1852,3.311375090,AR8,9199,RJ85
,2778,3.165496760,AR8,11725,RJ85
463,231,0.898488121,DHT,416,DHC6
926,463,0.674946004,DHT,625,DHC6
,926,0.608351332,DHT,845,DHC6
463,231,14.192224622,AB6,6571,A306
926,463,9.983801296,AB6,9245,A306
1389,926,9.192944564,AB6,12769,A306
1852,1389,8.752159827,AB6,16209,A306
2778,1852,8.254859611,AB6,22932,A306
3704,2778,7.970302376,AB6,29522,A306
4630,3704,7.780993521,AB6,36026,A306
5556,4630,7.643448524,AB6,42467,A306
6482,5556,7.538105523,AB6,48862,A306
7408,6482,7.454103672,AB6,55220,A306
,7408,7.385289177,AB6,61549,A306
463,231,0.399568035,BH2,185,B429
463,231,0.399568035,BH2,185,B412
463,231,0.399568035,BH2,185,B212
926,463,0.291576674,BH2,270,B429
926,463,0.291576674,BH2,270,B412
926,463,0.291576674,BH2,270,B212
1389,926,0.258459323,BH2,359,B429
1389,926,0.258459323,BH2,359,B412
1389,926,0.258459323,BH2,359,B212
1852,1389,0.238660907,BH2,442,B429
1852,1389,0.238660907,BH2,442,B412
1852,1389,0.238660907,BH2,442,B212
,1852,0.215622750,BH2,599,B429
,1852,0.215622750,BH2,599,B412
,1852,0.215622750,BH2,599,B212
463,231,3.317494600,ERD,1536,E135
926,463,2.254859611,ERD,2088,E135
1389,926,2,ERD,2778,E135
1852,1389,1.855831533,ERD,3437,E135
2778,1852,1.690424766,ERD,4696,E135
,2778,1.593142549,ERD,5901,E135
463,231,1.600431965,CS5,741,CN35
926,463,1.203023758,CS5,1114,CN35
1389,926,1.083513319,CS5,1505,CN35
1852,1389,1.012419006,CS5,1875,CN35
2778,1852,0.926565875,CS5,2574,CN35
,2778,0.874190065,CS5,3238,CN35
463,231,17.833693305,TU5,8257,T154
926,463,10.969762419,TU5,10158,T154
1389,926,9.535637149,TU5,13245,T154
1852,1389,8.734341253,TU5,16176,T154
2778,1852,7.818574514,TU5,21720,T154
3704,2778,7.282127430,TU5,26973,T154
4630,3704,6.916414687,TU5,32023,T154
5556,4630,6.644888409,TU5,36919,T154
,5556,6.432273990,TU5,41694,T154
463,231,5.738660907,AR7,2657,RJ70
926,463,4.037796976,AR7,3739,RJ70
1389,926,3.652987761,AR7,5074,RJ70
1852,1389,3.438984881,AR7,6369,RJ70
2778,1852,3.195464363,AR7,8877,RJ70
,2778,3.054805616,AR7,11315,RJ70
463,231,7.408207343,320,3430,A320
926,463,4.951403888,320,4585,A320
1389,926,4.472282217,320,6212,A320
1852,1389,4.196544276,320,7772,A320
2778,1852,3.875449964,320,10766,A320
3704,2778,3.684665227,320,13648,A320
,3704,3.553347732,320,16452,A320
463,231,4.838012959,E75,2240,E75S/L
926,463,3.227861771,E75,2989,E75S/L
1389,926,2.845932325,E75,3953,E75S/L
1852,1389,2.640388769,E75,4890,E75S/L
,1852,2.420806335,E75,6725,E75S/L
463,231,1.814254860,LRJ,840,LJ60
463,231,1.814254860,LRJ,840,LJ35
926,463,1.193304536,LRJ,1105,LJ60
926,463,1.193304536,LRJ,1105,LJ35
1389,926,1.038876890,LRJ,1443,LJ60
1389,926,1.038876890,LRJ,1443,LJ35
1852,1389,0.951403888,LRJ,1762,LJ60
1852,1389,0.951403888,LRJ,1762,LJ35
,1852,0.850611951,LRJ,2363,LJ60
,1852,0.850611951,LRJ,2363,LJ35
463,231,3.250539957,ER3,1505,E135
463,231,3.250539957,ER3,1505,E35L
926,463,2.209503240,ER3,2046,E135
926,463,2.209503240,ER3,2046,E35L
1389,926,1.959683225,ER3,2722,E135
1389,926,1.959683225,ER3,2722,E35L
1852,1389,1.818574514,ER3,3368,E135
1852,1389,1.818574514,ER3,3368,E35L
,1852,1.656227502,ER3,4601,E135
,1852,1.656227502,ER3,4601,E35L
463,231,2.332613391,DH7,1080,DHC7
926,463,1.753779698,DH7,1624,DHC7
1389,926,1.580273578,DH7,2195,DHC7
,1389,1.476241901,DH7,2734,DHC7
463,231,2.399568035,A40,1111,A140
926,463,1.803455724,A40,1670,A140
1389,926,1.624910007,A40,2257,A140
1852,1389,1.518358531,A40,2812,A140
2778,1852,1.389848812,A40,3861,A140
,2778,1.311285097,A40,4857,A140
463,231,12.723542117,722,5891,B722
926,463,8.514038877,722,7884,B722
1389,926,7.694744420,722,10688,B722
1852,1389,7.224082073,722,13379,B722
2778,1852,6.675305976,722,18544,B722
3704,2778,6.349082073,722,23517,B722
4630,3704,6.125485961,722,28361,B722
,4630,5.958603312,722,33106,B722
463,231,7.265658747,D91,3364,DC91
926,463,4.860691145,D91,4501,DC91
1389,926,4.393088553,D91,6102,DC91
1852,1389,4.124730022,D91,7639,DC91
2778,1852,3.811375090,D91,10588,DC91
3704,2778,3.625,D91,13427,DC91
,3704,3.497408207,D91,16193,DC91
463,231,0.460043197,BNT,213,TRIS
926,463,0.371490281,BNT,344,TRIS
1389,926,0.331173506,BNT,460,TRIS
1852,1389,0.307775378,BNT,570,TRIS
2778,1852,0.279697624,BNT,777,TRIS
3704,2778,0.262688985,BNT,973,TRIS
,3704,0.250755940,BNT,1161,TRIS
463,231,1.332613391,BEH,617,B190
926,463,1.002159827,BEH,928,B190
1389,926,0.902807775,BEH,1254,B190
1852,1389,0.843412527,BEH,1562,B190
,1852,0.772138229,BEH,2145,B190
463,231,25.952483801,388,12016,A388
926,463,19.031317495,388,17623,A388
1389,926,17.955363571,388,24940,A388
1852,1389,17.392548596,388,32211,A388
2778,1852,16.808855292,388,46695,A388
3704,2778,16.511879050,388,61160,A388
4630,3704,16.336501080,388,75638,A388
5556,4630,16.224442045,388,90143,A388
6482,5556,16.149490898,388,104681,A388
7408,6482,16.098137149,388,119255,A388
8334,7408,16.062514999,388,133865,A388
9260,8334,16.038012959,388,148512,A388
10186,9260,16.021598272,388,163196,A388
11112,10186,16.011159107,388,177916,A388
12038,11112,15.992440605,388,192517,A388
12964,12038,15.694615859,388,203465,A388
13890,12964,15.418718503,388,214166,A388
,13890,15.161447084,388,224632,A388
463,231,2.133909287,F50,988,F50
926,463,1.603671706,F50,1485,F50
1389,926,1.444924406,F50,2007,F50
1852,1389,1.349892009,F50,2500,F50
,1852,1.235421166,F50,3432,F50
463,231,17.732181425,77X,8210,B77L
926,463,12.335853132,77X,11423,B77L
1389,926,11.285097192,77X,15675,B77L
1852,1389,10.694924406,77X,19807,B77L
2778,1852,10.022318215,77X,27842,B77L
3704,2778,9.632559395,77X,35679,B77L
4630,3704,9.369978402,77X,43383,B77L
5556,4630,9.177645788,77X,50991,B77L
6482,5556,9.028849121,77X,58525,B77L
7408,6482,8.909152268,77X,65999,B77L
8334,7408,8.810295176,77X,73425,B77L
9260,8334,8.726673866,77X,80809,B77L
10186,9260,8.654820342,77X,88158,B77L
11112,10186,8.525197984,77X,94732,B77L
12038,11112,8.374730022,77X,100815,B77L
12964,12038,8.237503857,77X,106791,B77L
13890,12964,8.111231102,77X,112665,B77L
14816,13890,7.994330454,77X,118444,B77L
,14816,7.885465633,77X,124133,B77L
463,231,1.840172786,CWC,852,C46
926,463,1.487041037,CWC,1377,C46
1389,926,1.326133909,CWC,1842,C46
1852,1389,1.231101512,CWC,2280,C46
,1852,1.118430526,CWC,3107,C46
463,231,6.207343413,143,2874,B463
926,463,4.433045356,143,4105,B463
1389,926,4.046796256,143,5621,B463
1852,1389,3.833693305,143,7100,B463
,1852,3.594672426,143,9986,B463
463,231,23.384449244,743,10827,B743
926,463,17.149028078,743,15880,B743
1389,926,16.179265659,743,22473,B743
1852,1389,15.671706263,743,29024,B743
2778,1852,15.145428366,743,42074,B743
3704,2778,14.877969762,743,55108,B743
4630,3704,14.720086393,743,68154,B743
5556,4630,14.619150468,743,81224,B743
6482,5556,14.551527306,743,94323,B743
7408,6482,14.505264579,743,107455,B743
8334,7408,14.473242141,743,120620,B743
9260,8334,14.451187905,743,133818,B743
10186,9260,14.436383271,743,147049,B743
11112,10186,14.426925846,743,160312,B743
12038,11112,14.421664728,743,173608,B743
12964,12038,14.419469300,743,186934,B743
,12964,14.419798416,743,200291,B743
463,231,7.946004320,M87,3679,MD87
926,463,5.428725702,M87,5027,MD87
1389,926,4.966162707,M87,6898,MD87
1852,1389,4.703023758,M87,8710,MD87
2778,1852,4.398848092,M87,12220,MD87
3704,2778,4.220302376,M87,15632,MD87
4630,3704,4.098704104,M87,18977,MD87
5556,4630,4.009179266,M87,22275,MD87
,5556,3.939216291,M87,25534,MD87
463,231,0.555075594,MBH,257,B105
926,463,0.404967603,MBH,375,B105
1389,926,0.357811375,MBH,497,B105
1852,1389,0.330993521,MBH,613,B105
,1852,0.299136069,MBH,831,B105
463,231,1.008639309,ND2,467,N262
926,463,0.758099352,ND2,702,N262
1389,926,0.682505400,ND2,948,N262
1852,1389,0.637688985,ND2,1181,N262
,1852,0.583873290,ND2,1622,N262
463,231,18.254859611,343,8452,A343
926,463,11.937365011,343,11054,A343
1389,926,10.574514039,343,14688,A343
1852,1389,9.822894168,343,18192,A343
2778,1852,8.998920086,343,24999,A343
3704,2778,8.555885529,343,31691,A343
4630,3704,8.285745140,343,38363,A343
5556,4630,8.111231102,343,45066,A343
6482,5556,7.996143166,343,51831,A343
7408,6482,7.920896328,343,58678,A343
8334,7408,7.873890089,343,65621,A343
9260,8334,7.847300216,343,72666,A343
10186,9260,7.772334577,343,79169,A343
11112,10186,7.711213103,343,85687,A343
12038,11112,7.394833029,343,89019,A343
,12038,7.095186671,343,91982,A343
463,231,18.481641469,703,8557,B703
926,463,11.849892009,703,10973,B703
1389,926,10.439164867,703,14500,B703
1852,1389,9.622030238,703,17820,B703
2778,1852,8.656947444,703,24049,B703
3704,2778,8.073974082,703,29906,B703
4630,3704,7.667602592,703,35501,B703
5556,4630,7.360331174,703,40894,B703
6482,5556,7.115396483,703,46122,B703
7408,6482,6.913066955,703,51212,B703
8334,7408,6.741180706,703,56181,B703
,8334,6.592224622,703,61044,B703
463,231,1.252699784,NDC,580,S601
926,463,0.825053996,NDC,764,S601
1389,926,0.717782577,NDC,997,S601
,1389,0.657667387,NDC,1218,S601
463,231,8.641468683,M81,4001,MD81
926,463,5.903887689,M81,5467,MD81
1389,926,5.401727862,M81,7503,MD81
1852,1389,5.115010799,M81,9473,MD81
2778,1852,4.784377250,M81,13291,MD81
3704,2778,4.590172786,M81,17002,MD81
4630,3704,4.458099352,M81,20641,MD81
5556,4630,4.360511159,M81,24227,MD81
,5556,4.284480099,M81,27772,MD81
463,231,6.399568035,L49,2963,CONI
926,463,5.171706263,L49,4789,CONI
1389,926,4.611231102,L49,6405,CONI
1852,1389,4.282397408,L49,7931,CONI
2778,1852,3.890568754,L49,10808,CONI
3704,2778,3.653617711,L49,13533,CONI
4630,3704,3.488552916,L49,16152,CONI
5556,4630,3.364470842,L49,18693,CONI
,5556,3.266275841,L49,21172,CONI
463,231,5.933045356,E95,2747,E195
926,463,3.970842333,E95,3677,E195
1389,926,3.514038877,E95,4881,E195
1852,1389,3.270518359,E95,6057,E195
2778,1852,3.017638589,E95,8383,E195
,2778,2.893628510,E95,10718,E195
,231,0.939524838,S76,435,S76
463,231,12.587473002,312,5828,A310
926,463,8.855291577,312,8200,A310
1389,926,8.153347732,312,11325,A310
1852,1389,7.762958963,312,14377,A310
2778,1852,7.321814255,312,20340,A310
3704,2778,7.069384449,312,26185,A310
4630,3704,6.901511879,312,31954,A310
5556,4630,6.779517639,312,37667,A310
6482,5556,6.686053687,312,43339,A310
,6482,6.611636069,312,48979,A310
463,231,1.053995680,CS2,488,C212
926,463,0.791576674,CS2,733,C212
1389,926,0.713462923,CS2,991,C212
1852,1389,0.666306695,CS2,1234,C212
,1852,0.610151188,CS2,1695,C212
463,231,1.265658747,SH3,586,SH33
926,463,0.952483801,SH3,882,SH33
,926,0.857451404,SH3,1191,SH33
463,231,2.719222462,YK4,1259,YK40
926,463,1.790496760,YK4,1658,YK40
,926,1.558675306,YK4,2165,YK40
463,231,17.427645788,77L,8069,B77L
926,463,12.125269978,77L,11228,B77L
1389,926,11.092872570,77L,15408,B77L
1852,1389,10.512419006,77L,19469,B77L
2778,1852,9.851331893,77L,27367,B77L
3704,2778,9.467872570,77L,35069,B77L
4630,3704,9.209935205,77L,42642,B77L
5556,4630,9.020878330,77L,50120,B77L
6482,5556,8.874575748,77L,57525,B77L
7408,6482,8.757019438,77L,64872,B77L
8334,7408,8.659827214,77L,72171,B77L
9260,8334,8.577645788,77L,79429,B77L
10186,9260,8.507068525,77L,86653,B77L
11112,10186,8.445464363,77L,93846,B77L
12038,11112,8.348230603,77L,100496,B77L
12964,12038,8.211277384,77L,106451,B77L
13890,12964,8.085385169,77L,112306,B77L
14816,13890,7.968817495,77L,118066,B77L
,14816,7.860182950,77L,123735,B77L
463,231,11.915766739,788,5517,B788
926,463,8.323974082,788,7708,B788
1389,926,7.633549316,788,10603,B788
1852,1389,7.246760259,788,13421,B788
2778,1852,6.807415407,788,18911,B788
3704,2778,6.553995680,788,24276,B788
4630,3704,6.383801296,788,29557,B788
5556,4630,6.259719222,788,34779,B788
6482,5556,6.163838322,788,39954,B788
7408,6482,6.087068035,788,45093,B788
8334,7408,6.023758099,788,50202,B788
9260,8334,5.970410367,788,55286,B788
10186,9260,5.924602395,788,60348,B788
11112,10186,5.884809215,788,65392,B788
12038,11112,5.849725868,788,70419,B788
12964,12038,5.818651651,788,75433,B788
13890,12964,5.847444204,788,81221,B788
,13890,5.699176566,788,84439,B788
463,231,1.939524838,WWP,898,WW24
926,463,1.276457883,WWP,1182,WW24
1389,926,1.110871130,WWP,1543,WW24
1852,1389,1.017278618,WWP,1884,WW24
,1852,0.909287257,WWP,2526,WW24
463,231,5.838012959,100,2703,F100
926,463,4.090712743,100,3788,F100
1389,926,3.692584593,100,5129,F100
1852,1389,3.470302376,100,6427,F100
2778,1852,3.217062635,100,8937,F100
3704,2778,3.070464363,100,11373,F100
4630,3704,2.971274298,100,13757,F100
,4630,2.898488121,100,16104,F100
463,231,2.954643629,S20,1368,SB20
926,463,2.150107991,S20,1991,SB20
1389,926,1.873290137,S20,2602,SB20
1852,1389,1.691144708,S20,3132,SB20
,1852,1.439164867,S20,3998,SB20
463,231,0.200863931,PN6,93,P68
926,463,0.161987041,PN6,150,P68
1389,926,0.143988481,PN6,200,P68
1852,1389,0.133909287,PN6,248,P68
,1852,0.121670266,PN6,338,P68
463,231,6.514038877,318,3016,A318
926,463,4.238660907,318,3925,A318
1389,926,3.768178546,318,5234,A318
1852,1389,3.5,318,6482,A318
2778,1852,3.214902808,318,8931,A318
3704,2778,3.060205184,318,11335,A318
4630,3704,2.965226782,318,13729,A318
,4630,2.903167747,318,16130,A318
463,231,0.667386609,GRM,309,G73T
926,463,0.538876890,GRM,499,G73T
1389,926,0.480201584,GRM,667,G73T
1852,1389,0.446004320,GRM,826,G73T
,1852,0.405327574,GRM,1126,G73T
463,231,2.399568035,GRS,1111,G159
926,463,1.803455724,GRS,1670,G159
1389,926,1.624910007,GRS,2257,G159
1852,1389,1.518358531,GRS,2812,G159
2778,1852,1.389848812,GRS,3861,G159
,2778,1.311285097,GRS,4857,G159
463,231,23.384449244,74D,10827,B743
926,463,17.149028078,74D,15880,B743
1389,926,16.179265659,74D,22473,B743
1852,1389,15.671706263,74D,29024,B743
2778,1852,15.145428366,74D,42074,B743
3704,2778,14.877969762,74D,55108,B743
4630,3704,14.720086393,74D,68154,B743
5556,4630,14.619150468,74D,81224,B743
6482,5556,14.551527306,74D,94323,B743
7408,6482,14.505264579,74D,107455,B743
8334,7408,14.473242141,74D,120620,B743
9260,8334,14.451187905,74D,133818,B743
10186,9260,14.436383271,74D,147049,B743
11112,10186,14.426925846,74D,160312,B743
12038,11112,14.421664728,74D,173608,B743
12964,12038,14.419469300,74D,186934,B743
,12964,14.419798416,74D,200291,B743
463,231,20.952483801,D1C,9701,DC10
926,463,14.638228942,D1C,13555,DC10
1389,926,13.424046076,D1C,18646,DC10
1852,1389,12.743520518,D1C,23601,DC10
2778,1852,11.971202304,D1C,33256,DC10
3704,2778,11.525377970,D1C,42690,DC10
4630,3704,11.226349892,D1C,51978,DC10
5556,4630,11.007919366,D1C,61160,DC10
6482,5556,10.839401419,D1C,70261,DC10
7408,6482,10.704373650,D1C,79298,DC10
8334,7408,10.592992561,D1C,88282,DC10
9260,8334,10.499136069,D1C,97222,DC10
10186,9260,10.418613784,D1C,106124,DC10
11112,10186,10.348632109,D1C,114994,DC10
12038,11112,10.287007809,D1C,123835,DC10
12964,12038,10.232258562,D1C,132651,DC10
,12964,10.183225342,D1C,141445,DC10
463,231,19.904967603,D11,9216,DC10
926,463,13.906047516,D11,12877,DC10
1389,926,12.752339813,D11,17713,DC10
1852,1389,12.106371490,D11,22421,DC10
2778,1852,11.372570194,D11,31593,DC10
3704,2778,10.948974082,D11,40555,DC10
4630,3704,10.665010799,D11,49379,DC10
5556,4630,10.457523398,D11,58102,DC10
6482,5556,10.297439062,D11,66748,DC10
7408,6482,10.169141469,D11,75333,DC10
8334,7408,10.063354932,D11,83868,DC10
9260,8334,9.974190065,D11,92361,DC10
10186,9260,9.897702729,D11,100818,DC10
11112,10186,9.831173506,D11,109244,DC10
12038,11112,9.772636651,D11,117643,DC10
